Serial,ClientName,DBA,Active_on_OEMAcc
4287,HOMAN AUTO SALES INC.,HOMAN CHEVROLET ,0
4288,HOMAN VALUE CENTER,,0
4289,PRATER FORD INC.,,0
4290,HART GMC INC,HART GMC INC,0
4291,HART FORD LINCOLN MERCURY INC.,,0
4292,ARROTTA'S AUTOMAX & RV's LLC,,0
4293,CLICKIT RV LLC,,0
4294,BONANZA FORD INC.,,0
4295,NORTHTOWN AUTO LIQUIDATORS,,0
4296,TILLEMAN MOTOR CO - CHRYSLER,TILLEMAN HI-LINE DODGE,0
4297,VOICE MOTOR SALES INC.,,0
4298,TEAM HODGES INC,,0
4299,HOMAN KEARNS REAL ESTATE,,0
4304,BEAVERTON TOYOTA COMPANY INC.,BEAVERTON TOYOTA,0
4305,TINY HOMES OF SPOKANE,,0
4306,GANDRUD MOTOR COMPANY,GANDRUD DODGE CHRYSLER JEEP,0
4307,IVAN GANDRUD CHEVROLET INC.,GANDRUD CHEVROLET ,0
4308,GANDRUD AUTO GROUP,GANDRUD NISSAN,0
4310,WHEELER MOTORS INC.,,0
4311,COUNTRYSIDE ALFA ROMEO & FIAT,,0
4313,KRAPOHL FORD & LINCOLN CO.,,0
4314,MCGUIRE CHEVROLET INC.,,0
4316,WASCHKE FAMILY CHRYSLER DODGE JEEP RAM,,0
4317,V & H AUTOMOTIVE INC.,,0
4326,CHUCK SPAETH FORD LTD.,CHUCK SPAETH FORD LTD.,0
4327,PARK RAPIDS FORD,,0
4330,CLICKIT RV LLC,CLICKIT AUTO & RV SALES VALLEY,0
4331,CHUCK SPAETH FORD LTD.,,0
4334,Fletch's Inc.,Fletch's GMC Buick Audi,0
4339,Yoder Ford Inc.,Hacienda Ford,0
4342,HACIENDA AUTO OUTLET,,0
4343,KIWANIS HOLDINGS LLC,ALL AMERICAN FORD,0
4345,ALPHA MOTORS SPORTS PERFORMANCE LLC,,0
4351,Mojave Chrysler Dodge Jeep Ram of Barstow,,0
4352,Mojave Auto Group South Inc.,Mojave Nissan of Barstow,0
4354,ATWATER CHEVROLET GMC,,0
4356,J.O. Williams Motors Inc.,,0
4359,MOJAVE AUTO PARTS INC,MOJAVE AUTO PARTS INC. OA NAPA AUTO PARTS,0
4360,Bill DeLuca Chevrolet Cadillac Inc.,,0
4361,Bill Deluca Chevrolet GMC Inc.,,0
4362,Bill Deluca Chrysler Jeep Dodge Ram Inc.,,0
4364,Wittrock Motor Company,,0
4365,WILMINGTON AUTO CENTER CHRYSLER DODGE JEEP RAM,,0
4366,WINN/PATEL WOODLAND HILLS INC.,WINN VOLKSWAGEN WOODLAND HILLS,0
4370,GROSS MOTORS INC.,GROSS FORD,0
4371,POE IMPORTS L.P. ,POE TOYOTA,0
4373,POE AUTOMOTIVE L.P. DBA EL PASO HONDA,EL PASO HONDA,0
4375,HACIENDA FORD QUICKLANE,,0
4376,DANIEL J. QUIRK INC. DBA QUIRK CHEVROLET,QUIRK CHEVROLET,0
4377,DANIEL J. QUIRK INC. DBA QUIRK CHEVROLET - FORE RIVER SHIPYARD,QUIRK CHEVROLET - FORE RIVER SHIPYARD,0
4378,DANIEL J. QUIRK INC. DBA QUIRK CHEVROLET - WHOLESALE,QUIRK CHEVROLET - WHOLESALE,0
4379,DANIEL J. QUIRK INC. DBA QUIRK CHRYSLER JEEP,QUIRK CHRYSLER JEEP,0
4380,DANIEL J. QUIRK INC. DBA QUIRK KIA,QUIRK KIA,0
4381,DANIEL J. QUIRK INC. DBA QUIRK PREOWNED,QUIRK PREOWNED,0
4382,D.J. QUIRK FORD INC. DBA D.J. QUIRK FORD INC.,D.J. QUIRK FORD INC.,0
4383,QUIRK WORKS INC. DBA QUIRK MAZDA,QUIRK MAZDA,0
4384,QUIRK WORKS INC. DBA QUIRK VOLKSWAGEN,QUIRK VOLKSWAGEN,0
