fldId,fldSerialNumber,fldDate,fldUserRef,fldKey,fldCount,Year,Month,Day,Day_of_week
176326906,7415,2025-01-17,1030,Deal.Accessories.OEM,8,2025,1,17,Friday
176253225,5234,2025-01-17,1110,Deal.Accessories.OEM,2,2025,1,17,Friday
175950732,7206,2025-01-17,1409,Deal.Accessories.OEM,2,2025,1,17,Friday
176327117,7415,2025-01-17,2092,Deal.Accessories.OEM,1,2025,1,17,Friday
176327161,7415,2025-01-17,2128,Deal.Accessories.OEM,2,2025,1,17,Friday
176369854,3179,2025-01-18,6,Deal.Accessories.OEM,2,2025,1,18,Saturday
176418896,5622,2025-01-18,33,Deal.Accessories.OEM,1,2025,1,18,Saturday
176441450,7717,2025-01-18,251,Deal.Accessories.OEM,2,2025,1,18,Saturday
176481353,5234,2025-01-18,430,Deal.Accessories.OEM,12,2025,1,18,Saturday
176481820,5235,2025-01-18,511,Deal.Accessories.OEM,7,2025,1,18,Saturday
176481842,5235,2025-01-18,512,Deal.Accessories.OEM,16,2025,1,18,Saturday
176481925,5235,2025-01-18,524,Deal.Accessories.OEM,7,2025,1,18,Saturday
176481506,5234,2025-01-18,1110,Deal.Accessories.OEM,10,2025,1,18,Saturday
176509404,7415,2025-01-18,2128,Deal.Accessories.OEM,3,2025,1,18,Saturday
176509458,7415,2025-01-18,2172,Deal.Accessories.OEM,1,2025,1,18,Saturday
176548950,7415,2025-01-19,1030,Deal.Accessories.OEM,3,2025,1,19,Sunday
176739347,5644,2025-01-20,163,Deal.Accessories.OEM,3,2025,1,20,Monday
176739566,5644,2025-01-20,183,Deal.Accessories.OEM,1,2025,1,20,Monday
176812519,7717,2025-01-20,251,Deal.Accessories.OEM,3,2025,1,20,Monday
176812646,7717,2025-01-20,262,Deal.Accessories.OEM,1,2025,1,20,Monday
176912148,5234,2025-01-20,496,Deal.Accessories.OEM,1,2025,1,20,Monday
176912591,5235,2025-01-20,511,Deal.Accessories.OEM,5,2025,1,20,Monday
176912617,5235,2025-01-20,512,Deal.Accessories.OEM,2,2025,1,20,Monday
176912676,5235,2025-01-20,524,Deal.Accessories.OEM,2,2025,1,20,Monday
176912186,5234,2025-01-20,1110,Deal.Accessories.OEM,4,2025,1,20,Monday
177425864,7415,2025-01-21,-1,Deal.Accessories.OEM,2,2025,1,21,Tuesday
177021645,3179,2025-01-21,6,Deal.Accessories.OEM,4,2025,1,21,Tuesday
177078432,5644,2025-01-21,163,Deal.Accessories.OEM,2,2025,1,21,Tuesday
177365863,5235,2025-01-21,511,Deal.Accessories.OEM,2,2025,1,21,Tuesday
177365881,5235,2025-01-21,512,Deal.Accessories.OEM,2,2025,1,21,Tuesday
177425943,7415,2025-01-21,1031,Deal.Accessories.OEM,7,2025,1,21,Tuesday
177426268,7415,2025-01-21,2173,Deal.Accessories.OEM,6,2025,1,21,Tuesday
177525650,3166,2025-01-22,-1,Deal.Accessories.OEM,1,2025,1,22,Wednesday
177525890,5622,2025-01-22,-1,Deal.Accessories.OEM,4,2025,1,22,Wednesday
177525926,5622,2025-01-22,29,Deal.Accessories.OEM,1,2025,1,22,Wednesday
177766476,7682,2025-01-22,50,Deal.Accessories.OEM,1,2025,1,22,Wednesday
177830341,7696,2025-01-22,209,Deal.Accessories.OEM,2,2025,1,22,Wednesday
177715692,7717,2025-01-22,251,Deal.Accessories.OEM,2,2025,1,22,Wednesday
177825972,5234,2025-01-22,439,Deal.Accessories.OEM,2,2025,1,22,Wednesday
177826516,5235,2025-01-22,511,Deal.Accessories.OEM,1,2025,1,22,Wednesday
177826537,5235,2025-01-22,512,Deal.Accessories.OEM,12,2025,1,22,Wednesday
177884143,7415,2025-01-22,1031,Deal.Accessories.OEM,7,2025,1,22,Wednesday
178224088,3027,2025-01-23,-1,Deal.Accessories.OEM,7,2025,1,23,Thursday
177945029,3179,2025-01-23,6,Deal.Accessories.OEM,1,2025,1,23,Thursday
178271386,5234,2025-01-23,430,Deal.Accessories.OEM,3,2025,1,23,Thursday
178271608,5234,2025-01-23,496,Deal.Accessories.OEM,2,2025,1,23,Thursday
178272052,5235,2025-01-23,511,Deal.Accessories.OEM,2,2025,1,23,Thursday
178272071,5235,2025-01-23,512,Deal.Accessories.OEM,3,2025,1,23,Thursday
178348591,7415,2025-01-23,1031,Deal.Accessories.OEM,5,2025,1,23,Thursday
178271635,5234,2025-01-23,1110,Deal.Accessories.OEM,3,2025,1,23,Thursday
178348923,7415,2025-01-23,2173,Deal.Accessories.OEM,1,2025,1,23,Thursday
178666923,3027,2025-01-24,-1,Deal.Accessories.OEM,8,2025,1,24,Friday
178795352,7415,2025-01-24,-1,Deal.Accessories.OEM,1,2025,1,24,Friday
178406466,3179,2025-01-24,6,Deal.Accessories.OEM,1,2025,1,24,Friday
178742494,7696,2025-01-24,209,Deal.Accessories.OEM,2,2025,1,24,Friday
178725785,5235,2025-01-24,524,Deal.Accessories.OEM,5,2025,1,24,Friday
178795389,7415,2025-01-24,1030,Deal.Accessories.OEM,6,2025,1,24,Friday
178795415,7415,2025-01-24,1031,Deal.Accessories.OEM,3,2025,1,24,Friday
178725324,5234,2025-01-24,1110,Deal.Accessories.OEM,2,2025,1,24,Friday
178840812,3179,2025-01-25,6,Deal.Accessories.OEM,2,2025,1,25,Saturday
178989920,5439,2025-01-25,31,Deal.Accessories.OEM,1,2025,1,25,Saturday
178848115,5644,2025-01-25,163,Deal.Accessories.OEM,3,2025,1,25,Saturday
178848292,5644,2025-01-25,183,Deal.Accessories.OEM,3,2025,1,25,Saturday
178953754,7696,2025-01-25,209,Deal.Accessories.OEM,3,2025,1,25,Saturday
178907302,7717,2025-01-25,251,Deal.Accessories.OEM,3,2025,1,25,Saturday
178920133,7831,2025-01-25,285,Deal.Accessories.OEM,2,2025,1,25,Saturday
178950343,5234,2025-01-25,430,Deal.Accessories.OEM,4,2025,1,25,Saturday
178950782,5235,2025-01-25,511,Deal.Accessories.OEM,3,2025,1,25,Saturday
